name,score,address,img_url,reviews,open_hour
동의보감한약국,0.0,강남구 헌릉로571길 56-1 1층 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '휴무일', '일': '휴무일', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '휴무일': '공휴일'}"
프라임365약국,5.0,강남구 자곡로 172,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA5MjFfMjgz%2FMDAxNjk1MjY4NTExNzA3.KDypusrO8smnA5SpCY7F9mmYPAK59pgqCMBtImNLQbwg.Y6WUaURta0uq9cLzX5Y425X4bw3ennGRGokFEzrsgn8g.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_365%25ED%2594%2584%25EB%259D%25BC%25EC%259E%2584%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '호밀빝', '별점': '5.0', '날짜': '2024.03.09.', '내용': '주말에도 영업을 해주셔서 너무 감사한 곳입니다.\n약사님도 굉장히 친절하게 대해주셔서 감사합니다.', '좋아요': '0'}]","{'토': '09:00 ~ 23:00', '일': '09:00 ~ 23:00', '월': '09:30 ~ 23:00', '화': '09:30 ~ 23:00', '수': '09:30 ~ 23:00', '목': '09:30 ~ 23:00', '금': '09:30 ~ 23:00'}"
세곡온누리약국,3.5,강남구 헌릉로569길 27 2층 201-1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMjg5%2FMDAxNzM0OTQwMDQ5Mjc0.kWyFZUslhhsuzQWdD-YiswSqnkNMMz-Jg38BdMmRQGAg.taqcS1jyo-YDAbQ6pEtoCSHAwj1wgimubFi4i5kG0gwg.PNG%2F5.png%3Ftype%3Dw773,"[{'작성자': '요점부터말해요', '별점': '4.0', '날짜': '2025.04.03.', '내용': '닥터나우로 처방 가능하고 밤 늦게까지 열어서 좋아요.\n불친절한 약사분이 한분 계셨는데 다른 분들은 친절하셔서 그냥 갑니당', '좋아요': '0'}, {'작성자': 'SJ', '별점': '1.0', '날짜': '2023.11.08.', '내용': '다른 약국처럼 번호표를 놓던지, 순서대로 응대 해주세요. 집앞이라 자주 가는 약국이고, 주로 밤에 가서 다른 남자약사님은 항상 친절히 설명해 주셔서 불만이 없었습니다. 오늘 낮에 가보니 처음 본 여자 약사님이 가장 늦게 ... 더보기', '좋아요': '1'}, {'작성자': '시고', '별점': '5.0', '날짜': '2023.03.13.', '내용': '약사님이 되게 친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 21:30', '일': '09:00 ~ 21:30', '월': '09:00 ~ 23:00', '화': '09:00 ~ 23:00', '수': '09:00 ~ 23:00', '목': '09:00 ~ 23:00', '금': '09:00 ~ 23:00'}"
100세건강약국,3.7,강남구 헌릉로571길 7 레체오피스텔 1층 101호,,"[{'작성자': 'NA', '별점': '1.0', '날짜': '2024.07.13.', '내용': '최악 인성도 최악', '좋아요': '0'}, {'작성자': 'willow', '별점': '5.0', '날짜': '2023.09.23.', '내용': '참으로 훌륭한 약사님이세요  자상하시고 친절하세요.  병의원과 더불어 약국은 우리네 삶에서 가장 중요한. 영향을 받는 곳이지요  약품의 구비도 베스트이지만. 실내 인테리어도 멋지고 세련된 약국입니다 ... 더보기', '좋아요': '0'}, {'작성자': '성장', '별점': '5.0', '날짜': '2022.01.14.', '내용': '약사님 친절하시고 좋아요', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
메디칼정성약국,5.0,강남구 밤고개로21길 8 세곡프라자 1층 107호,,"[{'작성자': 'ㅇ', '별점': '5.0', '날짜': '2023.01.25.', '내용': '베여서 피 철철 나는 상태로 가니까 밴드에 약 발라서 붙여주셨어요\n감동받음', '좋아요': '0'}]","{'토': '08:00 ~ 14:00', '일': '휴무일', '월': '08:00 ~ 19:00', '화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00', '목': '08:00 ~ 19:00', '금': '08:00 ~ 19:00', '휴무일': '매주 일요일'}"
세곡리엔약국,5.0,강남구 헌릉로570길 34 1층 108호,,"[{'작성자': '만성피로', '별점': '5.0', '날짜': '2023.04.11.', '내용': '약사님 진짜 친절해요. 처방약에 대한 설명도 자세하게 해주시고 추가 질문에도 친절하게 답해주시고요. 약국 갔다가 감명받고 리뷰 처음 써봅니다.\n번창하세요~!!', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '공휴일'}"
서울약국,5.0,강남구 밤고개로34길 4 1층 12호,,"[{'작성자': '이원복', '별점': '5.0', '날짜': '2020.03.17.', '내용': '친절', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
강남리더스약국,1.5,강남구 헌릉로 569 1층 105호,,"[{'작성자': '초구초구쳐', '별점': '1.0', '날짜': '2025.02.05.', '내용': '여기 의사처방 지멋대로 포장합니다. 처방전 대량포장 하실거면 수서역 정민아 약국가세여. 기분 개잡쳐서 다신안감', '좋아요': '0'}, {'작성자': '후', '별점': '2.0', '날짜': '2023.12.30.', '내용': '저번에 아보다트 샀는데 비싼거 같아 전화해서 가격 물어봤는데 비밀이라길래 카드내역 조회해서 계산하니 나오네요 약값 엄청 비싼듯 싶어요 모든 약들이 비싼진 모르겠으나 아보다트 기준 ... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 14:30', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 20:00'}"
자곡맑은약국,3.3,강남구 자곡로 180 강남유탑유블레스 106-1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMDdfMjAg%2FMDAxNjY1MTE0OTc3OTE2.W7prRGoAgl1ekRWMaIpDrtjgNd7105OPUlvgq16ssocg.JIulB_-0kn5Jwycc8D8Jiu_HLapAObEFUSkgLQ7z9bgg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%259E%2590%25EA%25B3%25A1%25EB%25A7%2591%25EC%259D%2580%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '10:00 ~ 13:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 20:00', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30'}"
이층엔약국,2.5,강남구 자곡로 201 강남더샵라르고오피스텔 210호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MjlfMjM5%2FMDAxNjkzMjgzODg1Mzkw._hSFP9fQQmHcUzbfnmzF8naqFk9VH0YNHk1XOIhMyzcg.bFA-XSiMYyPaKUtlBO7raOWlJSLLkJ_MoOoGvyJCzcwg.JPEG.xxjinyz%2FIMG_8484.jpg%3Ftype%3Dw966,"[{'작성자': 'ㄱㄱㄱ', '별점': '1.0', '날짜': '2021.01.10.', '내용': '맨날 닫혀있음', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
자곡온누리약국,5.0,강남구 자곡로 114 서강프라자 109호,,"[{'작성자': 'S', '별점': '5.0', '날짜': '2023.06.08.', '내용': '친절하세요', '좋아요': '0'}, {'작성자': 'fred', '별점': '5.0', '날짜': '2023.05.30.', '내용': '약사분이 친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 19:00', '휴무일': '공휴일'}"
햇빛약국,4.3,강남구 자곡로 120 세곡드림프라자 107호,,"[{'작성자': 'ukm', '별점': '1.0', '날짜': '2024.05.30.', '내용': '다른 고객들도 경험한 것 같지만 일반인 남성이 약을 조제한다. 명백한 불법이다.', '좋아요': '0'}, {'작성자': '신명근', '별점': '5.0', '날짜': '2024.05.27.', '내용': '필요한 내용을 부족한 것 없이 친철하게 설명해 주세요~', '좋아요': '0'}, {'작성자': '리치리치리치', '별점': '5.0', '날짜': '2022.06.18.', '내용': '늘 친절합니다~^^', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '10:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
원진온누리약국,0.0,강남구 헌릉로 569,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
휴베이스 복정약국,5.0,성남시 수정구 복정로 86 수전빌딩 104호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E0787E9E51944E2B95EA0B10533912E,"[{'작성자': '빠찌', '별점': '5.0', '날짜': '2023.04.07.', '내용': '매우 친절하심~', '좋아요': '0'}, {'작성자': '누네띠네', '별점': '5.0', '날짜': '2022.04.26.', '내용': '친절하고 증상말하고 주시는 약 먹으면 금방 나음', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '추석당일, 설당일, 1월1일, 성탄절'}"
사랑약국,1.8,성남시 수정구 복정로 134 102호,,"[{'작성자': '찬해', '별점': '1.0', '날짜': '2023.09.12.', '내용': '아.. 평점이 이런 이유를 알겠네요. 반말은 왜 함? 그리고 나보고는 왜 대답 안하냐면서 지는 왜 인사 안함? 정신차려!', '좋아요': '0'}, {'작성자': '참치고등어', '별점': '2.0', '날짜': '2022.10.14.', '내용': '불친절해서 갈 때마다 기분이 안좋아집니다', '좋아요': '3'}, {'작성자': '부자언니', '별점': '5.0', '날짜': '2021.08.25.', '내용': '인공눈물사러갔는데..약값도싸고..정말친절했어요~~', '좋아요': '1'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '휴무일': '공휴일'}"
수서역정민아약국,5.0,강남구 광평로56길 8-13 수서타워 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMjc2%2FMDAxNzM0OTQwNjU2MTEy.WyPj1TteL1MRuqHTq6p0wBiVvUk3d0l8GkunQ-Y21PYg.aCdVuzI90WnNiNQ7Tx0YpXQii9eNrVkZ4vORol-6OBsg.PNG%2F5.png%3Ftype%3Dw773,"[{'작성자': '*', '별점': '5.0', '날짜': '2024.08.09.', '내용': '약사님 친절하시고 다른 약국에 없는 약들이 여기에는 있어요', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '5.0', '날짜': '2023.10.25.', '내용': '약사님이 정말 친절하십니다!', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2023.10.10.', '내용': '친절합니다', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30', '휴무일': '매주 일요일'}"
성남원외탕전원,0.0,성남시 수정구 복정로 31,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
튼튼약국,0.0,강남구 광평로 196 제이스프라자 202호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
일원역1번출구약국,,강남구 일원로 지하 121 일원역 지하M층 338-M01호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9662B1C17FD84627B46F2269A025B1DA,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '휴무일': '공휴일'}"
위드팜바른약국,2.3,강남구 일원로 115 삼성생명빌딩 1층 113호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FEF027830C3F84DCF875803CA0E23FE91,"[{'작성자': 'JB', '별점': '1.0', '날짜': '2024.11.21.', '내용': '약사가 너무 불친절해요 ㅠ\n두번다시 안갈듯요..\n지하철역안에 약국으로 가세요!', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2022.04.23.', '내용': '처방전 먼저전송해도 도착해서\n결재해야 조재하네요ㅠㅠ', '좋아요': '1'}, {'작성자': '뷁', '별점': '1.0', '날짜': '2021.05.10.', '내용': '전화에서부터 불친절함이 묻어나오네요. 평생 갈일 없을듯 합니다 ^^', '좋아요': '1'}]","{'토': '08:30 ~ 13:30', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30'}"
천사약국,4.6,강남구 일원로 95 신영프라자 108호,,"[{'작성자': '🙂', '별점': '5.0', '날짜': '2025.01.13.', '내용': '친절해서 좋았습니다', '좋아요': '0'}, {'작성자': 'ㅋㅋ', '별점': '5.0', '날짜': '2024.08.13.', '내용': '이름이 천사인데는 이유가 있네요 ㅎㅎ 대표약사님은 말할것도 없고 타 약사님 모두다 친절하세오', '좋아요': '0'}, {'작성자': '한미석', '별점': '1.0', '날짜': '2024.03.13.', '내용': '17년 오로지 천사약국만 다녔는데,이제 끝.\n처방전대로 갯수 주었다고만하고,\n집에 다시 찾아봐... 더보기', '좋아요': '0'}]","{'토': '09:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
일원정류장약국,5.0,"강남구 일원로 120 샘터마을아파트 지하1-4호, 102호",,"[{'작성자': '최준호', '별점': '5.0', '날짜': '2021.04.10.', '내용': '토요일에 정말 필요한 처방전 약이 없었는데 여기저기 전화해서 약 구해 주셨어요. 감사합니다^^ 넘 친절하시네요~~', '좋아요': '1'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
샘터약국,3.7,강남구 일원로 120,,"[{'작성자': 'miaong', '별점': '5.0', '날짜': '2024.02.28.', '내용': '동네라서 자주 가는데 약사님 정말 친절하십니다.', '좋아요': '0'}, {'작성자': '^', '별점': '1.0', '날짜': '2020.06.10.', '내용': '별하나 주기도 아깝네요 별로임.불친절 밀림', '좋아요': '1'}]","{'토': '09:30 ~ 18:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30'}"
가든건강약국,3.9,송파구 충민로 52 가든파이브웍스 S동 307호,,"[{'작성자': 'jw', '별점': '5.0', '날짜': '2021.04.01.', '내용': '복약지도 친절하면서 상세하게 잘해주시고, 공휴일에도 열어서 너무 좋아요. 앞으로도 자주올게요 ㅎㅎ', '좋아요': '0'}, {'작성자': '신철훈', '별점': '5.0', '날짜': '2021.04.01.', '내용': '약사님이 설명도 잘해주시고 너무 친절하시네요.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2021.02.04.', '내용': '늘 웃고있어요', '좋아요': '0'}]","{'토': '10:00 ~ 17:00', '일': '10:00 ~ 17:00', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00'}"
삼성약국,1.0,강남구 광평로19길 10 까치마을아파트 상가 101호,,"[{'작성자': 'KHK', '별점': '1.0', '날짜': '2022.03.22.', '내용': '뿌리는 소독제 14,000원 동일제품 쿠팡 4,100원 꼭 급하게 필요한것만 사세요', '좋아요': '1'}, {'작성자': 'nana', '별점': '1.0', '날짜': '2022.02.21.', '내용': '복약지도도 안해주는 약국...', '좋아요': '2'}]","{'토': '09:00 ~ 21:30', '일': '휴무일', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30', '휴무일': '매주 일요일'}"
참한약국,0.0,송파구 충민로 52 가든파이브윅스 지하 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F267C6E5051DB77E01F,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '12:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
수서두리약국,4.0,강남구 광평로 280 로즈데일오피스텔 1층 121호,,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.03.10.', '내용': '아주 잠깐 열지만 일요일에도 운영해줘서 약 필요할때 잘 샀습니다', '좋아요': '0'}, {'작성자': '기안85', '별점': '1.0', '날짜': '2024.03.25.', '내용': '보험 청구를 나중에 한꺼번에 하는 편이라 약봉투에 있는 영수증보다 종이로 보관하는게 편해서 뽑아달라고 하면 열에 한 곳 정도는 싫은티를 내는데 이곳이 그렇다  \n종이 한 ... 더보기', '좋아요': '0'}, {'작성자': '클렌즈🍒', '별점': '5.0', '날짜': '2023.01.06.', '내용': '약사님의친절한설명과  편하게느껴져서  좋습니다..\n번창하세요', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
일원약국,5.0,강남구 일원로 120 샘터마을아파트 상가동 1층 104호,,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.12.15.', '내용': '젊은 여자 약사분이 친절하고 좋아요', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
동인프라자온누리약국,2.3,강남구 밤고개로1길 10 수서현대벤쳐빌오피스텔 1층117-2호,,"[{'작성자': '•_•', '별점': '1.0', '날짜': '2023.04.01.', '내용': '챔프 6천원…….. 충격 ㅜㅜ', '좋아요': '0'}, {'작성자': '여행객쿠', '별점': '1.0', '날짜': '2022.09.08.', '내용': '같은 약도 다른 약국에 비해 비싸게 팝니다. 코로나 진단 키트도 쿠팡에 버젓이 5천원에 파는걸 1만원 달라 합니다.', '좋아요': '0'}, {'작성자': '김도율', '별점': '5.0', '날짜': '2021.01.30.', '내용': '진상 고객이 많은 불쌍한 약국..\n타 약국들에 비해 인테리어도 깔끔하다\n일요일에도 열려있는 경우가 많다', '좋아요': '0'}]","{'토': '08:30 ~ 21:00', '일': '휴무일', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '휴무일': '매주 일요일'}"
열린약국,1.5,강남구 일원로 95 지하1층 101~103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FdjFjZF%2FbtryigiieMx%2FJPmlrblT2X9AkQRbqkDgsK%2Fimg.png,"[{'작성자': '멍멍', '별점': '1.0', '날짜': '2024.07.04.', '내용': '너무오래걸려요 다른데가세요', '좋아요': '0'}, {'작성자': '황규석', '별점': '1.0', '날짜': '2024.01.30.', '내용': '입장하자마자 개별 포장이라고 했는데..30분이 지나도 안나와서 앞에 가서 문의..약사가 갖고 있어 포장 보니..어떤 약은 포장안하고 통을 되어있고, 개별 포장이라고 했는데 어떤 약은 한꺼번... 더보기', '좋아요': '1'}, {'작성자': 'ㅋㅋㅎㅋㅎ', '별점': '1.0', '날짜': '2023.04.12.', '내용': '진짜 개느립니다. 오지마세요 어차피 약도 똑같고 복용 지도도 똑같으니까 다른 좀 더가서 한가한 약국가세요 일단 접수부터해놓고 오래기다려야해서 진짜 개빡칩니다', '좋아요': '2'}]","{'토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
송파24약국,3.5,송파구 송파대로 111 202동 161호,,"[{'작성자': '피터팬', '별점': '1.0', '날짜': '2024.10.27.', '내용': '약사나 계산대 직원이나 상당히, 그것도 ‘기분 나쁘게’ 불친절합니다. \n\n손님이 약 정보에 대해 궁금해서 좀 물어볼 수도 있지 않나요? 뭐... 더보기', '좋아요': '0'}, {'작성자': '꿀티거', '별점': '1.0', '날짜': '2024.08.26.', '내용': '24시약국어닌데.. 정보좀 제대로 해놓으세요', '좋아요': '0'}, {'작성자': '901-ATT', '별점': '5.0', '날짜': '2023.05.12.', '내용': '제로페이 되고 약제사분 친절합니다', '좋아요': '0'}]",{}
사랑의약국,5.0,강남구 밤고개로1길 10 수서현대벤쳐빌오피스텔 2층 219호,,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.03.10.', '내용': '원장님으로 보이시는 분이신 것 같은데 늘 친절하세요 따듯하게 말씀도 해주셔서 약 관련 필요하거나 사러갈때는 늘 여기만 갑니다ㅎㅅㅎ)\U0001fa77', '좋아요': '0'}, {'작성자': 'oo', '별점': '5.0', '날짜': '2024.09.15.', '내용': '친절친절 .. 감사해요', '좋아요': '0'}, {'작성자': 'ㅅㅇ', '별점': '5.0', '날짜': '2024.03.08.', '내용': '너무 친절하고 꼼꼼하셔서 리뷰 적으려고 카맵 켰음,,,', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
